A,B,C,D,E
54.96714153011233,79.5165309453614,54.794401496640575,63.12923549140871,40.769374410759035
48.61735698828815,30.024825492830608,34.37607388624242,62.11905429205706,63.867240868591516
56.47688538100692,49.420249141262275,50.6660658344799,75.15991593583293,53.85216984991601
65.23029856408026,67.43648359523266,50.82989986669416,90.88583595899897,50.656573806811046
47.658466252766644,69.66582680307273,51.43108609542454,102.05928693843332,39.84616543894409
47.6586304305082,49.82257904269167,44.6539281041075,65.62923491995569,26.127026709872535
65.79212815507391,55.41750805419521,56.528398945373816,106.49778303846475,84.36760709217549
57.67434729152909,51.03928408432286,44.540247632232735,87.53413669522493,49.80290161933391
45.30525614065048,61.65627070419179,60.56235675208335,45.359830920536474,103.78886399709461
55.42560043585965,77.95767797192869,20.5609623617388,44.7758348877265,68.91024503621772
45.365823071875376,48.43436764288193,44.17943497200182,58.4542429879466,87.92655099431632
45.34270246429743,75.01230746652621,43.399883110428,98.89207966719452,72.882771031254
52.41962271566034,48.274918914796686,28.761761850334103,59.97265368868927,57.85329083836543
30.86719755342202,47.28559181254674,46.95501066116486,32.152863509874535,44.24216395492036
32.75082167486967,72.2789192751482,22.119007893080582,65.42231582224579,37.416881522863356
44.37712470759027,73.82904567011425,32.14978809087606,30.388560648791866,75.15371830574684
39.87168879665576,72.77114905143982,16.010946245226307,48.90028706126256,59.77061288273192
53.142473325952736,40.26303887672788,58.70351820355378,58.25943187414828,66.0970187341025
40.91975924478789,53.01073532891924,37.22140607265646,72.99337821849383,69.66322308907726
35.87696298664709,72.34482888004982,66.00260841779574,90.48324653213757,61.40753897906436
64.65648768921554,60.62312760845842,49.63539911823394,83.88271886743529,46.50656413057478
47.74223699513465,43.89460730703804,45.37717856021229,46.413504031050294,73.2286444782808
50.67528204687924,66.87476908688163,32.96526766862801,62.56575475668695,51.432636748558274
35.75251813786544,49.27789111512794,27.443799571750958,71.52751177405133,56.63024676491751
44.556172754748175,86.91787272588319,46.275658886763345,64.75585751107002,67.91303091947891
51.10922589709866,83.17262193627388,39.14183188872421,64.61409548263411,53.93865867671907
38.490064225776976,69.06146139533351,23.92875621417639,35.54513350691457,22.278738550062542
53.75698018345672,80.4151005715466,21.797699001900178,46.94531697720719,73.73057508196385
43.99361310081195,60.97187025185072,28.495555250276993,61.941203017214534,77.58871893847092
47.083062502067236,71.48156241562523,61.85160670319477,8.13548650109675,22.03991035119202
43.98293387770603,82.16580442953112,66.55933501613565,82.81288640019709,36.22075829809232
68.52278184508938,63.68248022691469,42.45986976770692,42.546418005778605,91.4298331147392
49.86502775262066,56.172192427285744,41.78731355489546,83.73676266530276,59.17662421307041
39.422890710440996,34.43067062734326,35.964155538045745,81.9783200894182,55.063922918866574
58.225449121031886,58.75299711417759,28.786175820285973,59.12613913775232,47.32509867310773
37.791563500289776,72.35134776843466,56.502148691286926,90.01096651403076,36.44735228458058
52.08863595004755,74.18450141351444,62.48291672676563,84.86394689849867,51.50048243848509
30.403298761202244,67.56547598577615,29.278970969928572,63.82077058330719,72.5396093049828
36.71813951101569,51.880513575566404,39.005939458904784,61.564807696166035,54.717796731142016
51.96861235869123,30.347676465786144,34.601604391477984,91.94465571328713,65.98511354607487
57.38466579995411,52.571773529928976,34.95713110162028,74.64027678815329,86.78272867311813
51.7136828118997,55.43482693419073,54.23089906515835,90.89394336736285,44.55139275196853
48.843517176117594,55.306065492149784,24.25646145560654,22.22051851294526,60.45174821185195
46.98896304410711,69.27834535466887,45.59763629123567,71.96970194038924,73.0790840968422
35.214780096325725,89.7851461652226,48.738857287670385,38.45181826061254,38.20773459760126
42.801557916052914,61.852938027616396,38.29418591677817,69.48422985026474,58.20495090518449
45.393612290402125,56.749023162653074,50.71681392384127,84.27640416691767,88.7018414432745
60.57122226218915,56.111672804938614,41.771822086449404,104.78280291498206,48.87549315172332
53.43618289568462,61.86577150361571,54.60555905387335,51.236665431256284,74.23023768406821
32.36959844637266,47.57559359477402,21.73353634088975,59.48590389396034,52.45953621022411
53.24083969394795,61.802978381190826,35.81469686791757,68.08934185848925,87.39256631170582
46.149177195836835,66.762185044977,39.138242285787584,50.50937797076219,25.381578000932105
43.23077999694041,63.14529095361732,7.93351138634381,89.57119457578514,56.169211438185116
56.11676288840868,66.86312901007172,26.96856719705758,68.59810909268754,28.380615487373984
60.30999522495951,66.50621414022802,30.236808947694563,72.43914046752091,42.38421730694391
59.31280119116199,33.42154976630334,51.37847193788019,82.40346253548317,42.277261864686494
41.607824767773614,69.55305237593105,31.517879844224794,68.56576967249181,50.194786471590625
46.907876241487855,49.934777315063194,30.183052152328276,53.6492174364827,33.61075568748424
53.31263431403564,43.562412554940636,49.8098293678743,68.73959523403066,53.70868796392878
59.75545127122359,43.433222582175055,20.585072250519346,52.87637280973222,63.2883970806612
